lon	lat	Depth	Mag	code
-75.7833	78.8799	0	1	1E
-80.7783	79.6566	0	1	1E
-79.5766	80.605	0	1	1E
-75.0416	82.6483	0	1	1E
-76.8450	81.4133	0	1	1E
-96.0024	64.3185	1	1	CN
-86.4158	80.0532	1	1	CN
-94.0884	58.7592	1	1	CN
-81.8243	69.3712	1	1	CN
-77.9620	72.7012	1	1	CN
-94.8962	74.6892	1	1	CN
-78.1912	60.808	2	1	PO
-84.4616	69.4586	2	1	PO
-94.0701	61.0976	2	1	PO
-81.6380	69.9945	2	1	PO
-78.1186	58.4509	2	1	PO
-91.5420	63.1622	2	1	PO
-77.7455	55.2769	2	1	PO
-90.0616	68.0898	2	1	PO
-83.5361	69.1086	2	1	PO
-92.2977	63.3043	2	1	PO
-91.0784	65.2146	2	1	PO
-86.3709	66.6532	2	1	PO
-91.2081	63.2502	2	1	PO
-91.9364	68.5936	2	1	PO
-79.2254	56.5418	2	1	PO
-83.3238	68.5513	2	1	PO
-92.9849	67.3116	2	1	PO
-89.4445	65.8792	2	1	PO
-92.1095	62.8102	2	1	PO
-83.3478	64.1887	3	1	X5
-82.4846	62.8517	3	1	X5
-76.5305	64.2299	3	1	X5
-79.5918	62.2893	3	1	X5
-79.3735	71.3262	3	1	X5
-78.1354	63.2936	3	1	X5
-84.1145	64.5766	3	1	X5
-85.0886	63.7751	3	1	X5
-52.6709	47.6069	4	1	EX
-96.1022	50.6353	4	1	EX
-113.351	53.7381	4	1	EX
-123.402	48.4996	4	1	EX
32.85579	40.0071	4	1	EX
