# @VGMT1.0 @GLINESTRING
# @R-127.06366881/-66.1724117155/37.9871248685/74.6112128526              
# @Je4326
# @Jp"+proj=longlat +datum=WGS84 +no_defs "
# @Jw"GEOGCS[\"GCS_WGS_1984\",DATUM[\"WGS_1984\",SPHEROID[\"WGS_84\",6378137,298.257223563]],PRIMEM[\"Greenwich\",0],UNIT[\"Degree\",0.017453292519943295],AUTHORITY[\"EPSG\",\"4326\"]]"
# @Nid|FID|Tect_prov
# @Tdouble|double|string
# FEATURE_DATA
>
# @D1|0|0
-123.965293451068 68.4421501686163
-122.166607556446 68.341115628838
-120.352195701069 68.2685652662257
-118.871486096646 68.0538485432429
-116.811796223215 67.8149066970256
-115.553709958791 67.2507720565738
-115.412328829014 66.7294886867739
-115.373089501537 66.0175842514731
-115.811451650477 65.3215516536629
-116.432849630119 64.7058241579104
-116.704178086387 64.1232270621374
-116.678743437324 63.6664746144921
-116.495676361815 63.1105298928277
-116.149741004009 62.6237366240065
-115.576764046066 61.9716002122982
-115.086394247464 61.5272131302513
-115.587608351039 61.2412642951166
-116.23028653865 60.8993800094826
-116.876136250259 60.7341694062417
-116.103001124127 60.1274618262175
-115.240265531575 60.5062762988271
-114.450993591727 60.8458365110918
-113.784816718537 61.2012296780181
-113.134069160594 61.5846593341003
-112.108136928407 62.0765122872123
-111.089373571804 62.3780732919985
-110.449106151727 62.5663108709441
-109.096978615673 62.7032892488471
-107.865310015311 62.8265425264045
-107.380205051487 63.0313070395104
-106.635694476153 63.2489827726662
-106.146877867029 63.6798152134342
-105.470408042771 63.9804013556264
-105.525747366943 64.3649008062486
-105.943169242551 64.9396784475357
-105.256134197375 65.4259694834478
-104.691435391505 66.1125266454347
-104.063374450806 66.6654768287237
-103.974574485138 67.3743570457736
-103.419684222111 68.1825092036424
-102.996726306642 69.0076384202294
-102.598897653718 69.5897216058879
-101.877007732035 69.9851310760872
-101.468797373146 70.3850417350773
-100.672342986386 70.8554390982421
-100.034287007331 71.782445656861
-99.7018833496075 72.3799610025938
-99.4037128573273 73.0217248510128
-99.3192915367335 73.9020891162474
-99.5570578499924 74.6112128526371
>
# @D2|0|0
-116.115942626106 60.12939511463
-116.740752595779 59.8277828750638
-117.378097809498 59.4135256610988
-118.166661403458 58.9458948220655
-118.886123088358 58.5010064177251
-119.483295069204 58.0922012288439
-119.981159638616 57.6996392716279
-120.639052040856 57.230194030451
-121.169430224372 56.7837730967601
-121.618268837995 56.2091319148205
-122.1787357586 55.6726262282
-122.619535030929 55.1616037545843
>
# @D0|0|MCR
-97.9875947913874 39.4054534896373
-98.0301600249727 39.0860733450806
-98.0111458417841 38.8453398677985
-97.9740780721765 38.6110274543469
-97.9364727442673 38.3672517514881
-97.9742584034471 38.1829083140901
-97.8796239800467 37.9871248685295
-97.7120248396687 37.9974184522053
-97.5815547220993 38.06916583061
-97.4445762880868 38.2737918736156
-97.3974075911544 38.4386921717749
-97.2873309020584 38.4695590102846
-97.2441088348653 38.614591504785
-97.2410544007038 38.8559971954593
-97.2451935659715 39.1072331541029
-97.1852198631539 39.1451322987549
-96.9654207541205 39.171932358358
-96.9145162520147 39.3179971725646
-96.9289416502827 39.4113029595377
-97.0383798586359 39.4944648176113
-97.2149529621155 39.5393332146714
-97.2190417616698 39.653287654796
-97.2236178263643 39.842320220915
-97.3420673014377 39.8706480320691
-97.5616449149365 39.8780775470762
-97.7109299266467 39.8894415166968
-97.7335102821371 39.7333764417042
-97.7311048813309 39.5843139663845
-97.7596844185941 39.4882979847542
-97.9637165234786 39.4813616198922
-97.9875947913874 39.4054534896373
>
# @D0|1|MCR
-96.2953882900859 41.4572452915022
-96.6949570778545 41.3497584036034
-96.8754558180255 41.2322637390606
-96.846423866659 40.908313789049
-96.782241367478 40.6995445297939
-96.5372280878077 40.6628323334327
-95.9996479637084 40.6982912374367
-95.7959746791632 40.9334502988018
-95.4823155281863 41.0102418695164
-95.1433741231748 41.2047842887874
-95.1083956489208 41.269854200187
-94.8254985847574 41.3435315058588
-94.5750582377862 41.4253396513595
-94.3401932931909 41.5750760362194
-94.0650871336424 41.7454214102901
-93.8482744287621 41.933644832184
-93.6497608641592 42.1314099865244
-93.4295795371137 42.3499438715831
-93.2648283032186 42.4681993236574
-93.2557808517993 42.6375786554342
