station,Zone,lat,lon,SELECTED_MODEL,DISTRIB, SIZE,moho_avg,moho_std,depth%,Selected_Vp,Selected_Vs,SelectedVpVs,Anis,Dip,vp_avg,vp_std,vp%,vs_avg,vs_std,vs%,vp/vs, ERR2L, DEP2L1, DEN2L1, VP2L1, VS2L1, PLNG2L1, TRND2L1, ANIS2L1, DIP2L2, STRK2L2,  ERR3L, DEP3L1, DEN3L1, VP3L1, VS3L1, DEP3L2, DEN3L2, VP3L2, VS3L2, DIP3L2, STRK3L2, PLNG3L2, TRND3L2, ANIS3L2, DIP3L3, STRK3L3, ERR4L, DEP4L1, DEN4L1, VP4L1, VS4L1, DEP4L2, DEN4L2, VP4L2, VS4L2, DIP4L2, STRK4L2, PLNG4L2, TRND4L2, ANIS4L2, DEP4L3, DEN4L3, VP4L3, VS4L3, DIP4L3, STRK4L3, PLNG4L3, TRND4L3, ANIS4L3, DIP4L4, STRK4L4
AP3N,Rae,69.459,-84.462,3,BAD,7,38819,1495.1,3.85,6301,3705,1.7,0,0,6492,160.9,2.48,3671,196.6,5.35,1.77,0.17,40463.71,2840.71,6583.31,3845.87,0,0,0,0,0,0.16,18341.55,2653.42,6116.37,3606.15,20110.24,2755.39,6479.68,3800.22,0,0,0,0,0,0,0,0.17,9390.13,2282.61,6145.41,3526.12,13758.73,2983.37,7372.08,3526.12,0,0,0,0,0,14393.16,3339.14,6124.1,3348.59,0,0,0,0,0,0,0
ARVN,Hearne,61.098,-94.07,3,BAD,6,40227,3273.4,8.14,6163,3809,1.62,0,0,6351,220.9,3.48,3839,247.3,6.44,1.65,0.17,42810.5,2981.16,6279.28,4099.63,0,0,0,0,0,0.16,32630.67,2611.53,6028.23,3794.74,8694.81,2900.31,6725.72,3861.72,0,0,0,0,0,0,0,0.17,8694.36,1897.73,6163.79,3467.85,14466.96,2985.41,7380.49,3777.02,0,0,0,0,0,13384.82,3416.49,6037.04,3515.94,0,0,0,0,0,0,0
AXF,Northern,78.879,-75.783,2,BAD,2,32878,1649.3,5.02,6883,4059,1.7,0,0,6858,72.9,1.06,3874,272.3,7.03,1.77,0.13,34035.06,2870.91,6883.31,4059,0,0,0,0,0,0.13,7417.48,2247.07,5963.76,3809.71,26191.92,2806.76,7006.52,4056.82,0,0,0,0,0,0,0,0.14,6612.38,1923.94,6379.27,3519.38,10595.66,2712.56,7183.47,3489.98,0,0,0,0,0,13781.49,3124.43,6967.22,3636.75,0,0,0,0,0,0,0
BLKN,Rae,64.319,-96.002,4,GOOD,28,34503,1358.4,3.94,6549,3575,1.83,4.8,4.2,6684,344.4,5.15,3746,137.1,3.66,1.78,0.16,35596.17,2950.08,7073.45,3874.36,1.85,183.51,0.42,2.78,344.35,0.16,21331.09,2465.23,5969.41,3855.35,13599.07,2967.69,7125.62,3619.08,4.71,163.69,30.14,109.41,4.19,3.62,28.89,0.14,7925.44,2322.04,6321.74,3518.43,12665.5,2591.44,6387.83,3976.92,3.49,285.7,12.81,35.43,5.96,12391.26,3395.74,6885.28,3271.35,3.65,138.04,8.04,116.15,3.61,4.91,320.54
BULN,Rae,66.397,-93.125,4,GOOD,5,37239,2847.5,7.65,6317,3495,1.81,4.8,2.8,6385,150.6,2.36,3802,260.8,6.86,1.68,0.13,39769.67,2950.11,6557.47,4030.9,37.71,67.67,6,1.95,51.09,0.13,6372.52,2832.56,6149.58,3677.42,31418.25,2849.01,6305.31,3893.1,5.52,278.65,37.17,67.55,2.55,0.74,105.04,0.11,8126.06,2261.56,6210,3561.38,11816.44,2643.92,6446.68,3860.59,5.58,276.38,19.77,41.87,5.37,14213.09,3341.39,6274.31,3208.42,6.23,14.89,3.91,134.46,4.36,0.42,85.7
CNF,Northern,79.657,-80.778,4,GOOD,5,30619,1010.2,3.3,6690,3705,1.81,4.8,4.4,6476,294.5,4.55,3831,110.4,2.88,1.69,0.23,31785.75,2980.89,6151.79,3924.76,42.61,183.46,7.47,5.2,88.22,0.18,17901.84,1994.08,6768.23,3839.42,12123.85,2865.24,6227.43,3888.79,3.72,282.06,39.65,334.68,3.77,0.6,234.88,0.16,8277.71,1552.27,5970.41,3526.88,8509.76,2694.11,6833.21,3844.83,2.92,197.29,10.78,269.95,6.37,13259.16,3453.95,7130.58,3736.59,7.79,278.79,29.28,350.78,3.79,5.36,184
CRLN,Hearne,64.189,-83.348,3,BAD,20,34553,1183.8,3.43,6959,3622,1.92,0,0,6800,143.6,2.11,3682,202.7,5.51,1.85,0.17,35431.78,2893.9,6698.1,3907.52,0,0,0,0,0,0.17,10181.69,1920.19,6660.63,3613.73,24839.64,2997.26,7089.07,3625.7,0,0,0,0,0,0,0,0.17,10765.87,2128.88,6280.54,3381.03,13549.53,2881.59,6876.05,3349.75,0,0,0,0,0,8891.74,2975.81,7082.23,3930.34,0,0,0,0,0,0,0
CTSN,Hearne,62.852,-82.485,3,GOOD,14,36944,1339.1,3.62,6373,3880,1.64,2.4,0.9,6639,561.2,8.45,3812,164.1,4.3,1.74,0.16,38130.33,2977.16,7275.98,3931.96,5.12,234.81,3.24,7.75,67.34,0.14,26786.92,2960.39,6059.43,3885.17,10422.9,2836.74,7352.67,3866.68,7.15,40.12,21.32,160.79,2.36,0.89,202.99,0.14,14680.57,2122.82,6039.42,3571.35,14062.51,2613.56,6023.19,3551.89,3.17,250.83,7.82,121.86,2.17,6748.98,2801.46,7014.36,3896.16,3.96,358.53,23.75,163.86,2.38,0.69,6.07
DORN,Hearne,64.23,-76.531,4,GOOD,26,38451,1783.7,4.64,6506,3635,1.79,2.5,4,6442,102.8,1.6,3817,190.1,4.98,1.69,0.14,40288.06,2985.15,6465.7,4016.57,18.98,64.12,0.8,5.06,81.46,0.13,23455.99,2939.2,6569.99,3892,14882.54,2965.67,5949.84,3643.71,7.84,270.84,0.36,289.2,0.88,3.22,74.61,0.12,9982.55,2226.35,5988.56,3594.07,14090.75,2953.8,6987.1,3770.92,6.92,59.8,11.39,44.44,2.53,12652.73,3165.33,6450.32,3524.95,7.61,295.73,9.52,287.97,2.54,0.74,127.17
EUNU,Northern,80.053,-86.416,4,BAD,9,33198,1612.2,4.86,6770,3480,1.95,0,0,7032,203.2,2.89,3643,206.1,5.66,1.93,0.23,32331.2,2980.61,7071.25,3542.87,0,0,0,0,0,0.22,13107.51,2298.12,6891.73,3679.96,21950.23,2688.7,7403.86,3999.14,0,0,0,0,0,0,0,0.2,10882.42,1902.8,6172.14,3134.14,10221.01,2740.52,6791.79,3867.95,0,0,0,0,0,11100.27,2939.19,7457.22,3536.13,0,0,0,0,0,0,0
