station,lat,lon,SELECTED_MODEL, SIZE,Anis,Dip,trend,strike
BLKN,64.319,-96.002,4,28,4.8,4.2,75.3,212.7,
BULN,66.397,-93.125,4,5,4.8,2.8,92.4,133.6,
CNF,79.657,-80.778,4,5,3.8,2.5,319.2,246.9,
CTSN,62.852,-82.485,3,14,2.4,5.4,160.8,203,
DORN,64.23,-76.531,4,26,2.5,4,159.7,171.4,
FCC,58.759,-94.088,2,18,1.5,4.4,148.7,32.3,
ILON,69.371,-81.824,3,25,0,1.7,163.9,55,
KUGN,68.09,-90.062,4,12,4.1,1.1,170.7,186.8,
MANN,62.289,-79.592,4,11,2,1.6,100.4,201.1,
MCMN,63.304,-92.298,3,6,0.3,6.4,218,153,
QILN,66.653,-86.371,4,11,4.3,1.7,104.9,132.1,
SAKN,56.536,-79.232,4,12,3,4.6,241.5,197.5,
SHWN,63.775,-85.089,4,7,5.1,5.7,64,217.1,
SMLN,68.594,-91.936,2,5,7.3,2.6,139.4,338.3,
SRLN,68.551,-83.324,3,10,0.2,4.8,228.9,196.1,
