station, lat, lon,depth,vpvs,weights,hd-angle,no_of_ev_in_hd
AP3N,69.4586,-84.4616,38,1.8,,128,19
ARVN,61.0976,-94.0701,40,1.78,,96,27
AXF,78.879997,-75.783333,33,2,121,328,9
BLKN,64.3185,-96.0024,34,1.8,,16,95
BULN,66.3971,-93.1252,35.5,1.78,,322,30
CNF,79.65667,-80.778328,35,1.58,113,318,36
CRLN,64.188797,-83.347832,31.5,1.9,411,120,43
CTSN,62.851799,-82.484642,35,1.8,,30,50
DORN,64.229942,-76.530502,35.5,1.8,,108,83
EUNU,80.0532,-86.4158,47,1.7,,0,23
FCC,58.7592,-94.0884,39,1.82,,178,75
GIFN,69.9945,-81.638,40.5,1.76,,358,21
IBFB,80.605003,-79.576668,37,1.86,411,54,59
IGLN,69.369,-81.8175,37,1.74,,154,4
ILON,69.3712,-81.8243,38,1.72,,86,67
INUQ,58.4509,-78.1186,40,1.8,,58,18
JOSN,63.1622,-91.542,36,1.76,111,36,32
KUGN,68.0898,-90.0616,35,1.74,,198,40
LAIN,69.1086,-83.5361,38.5,1.82,,146,24
MANN,62.289333,-79.591835,33.5,1.84,,142,43
MARN,71.326279,-79.373581,40.5,1.72,,278,49
MCF,82.648331,-75.041672,32.5,1.92,,240,11
MCMN,63.3043,-92.2977,34.5,1.82,,120,20
NUNN,65.2146,-91.0784,35,1.78,,320,30
POIN,72.7012,-77.962,33,1.86,121,90,16
QILN,66.6532,-86.3709,35.5,1.78,,122,60
RES,74.6892,-94.8962,33,2.12,,62,26
SAKN,56.5359,-79.2324,37.5,2.02,121,150,35
SEDN,63.2502,-91.2081,41,1.66,,284,35
SHMN,64.576668,-84.114517,36.5,1.74,,56,42
SHWN,63.775139,-85.088692,36,1.78,,296,40
SMLN,68.5936,-91.9364,39.5,1.72,,224,12
SRLN,68.5513,-83.3238,38,1.72,,28,57
STLN,67.3116,-92.9849,38,1.72,,32,23
TQF,81.41333,-76.845001,48,1.62,111,122,16
WAGN,65.8792,-89.4445,34,1.74,,130,15
YRTN,62.8102,-92.1095,36.5,1.78,,30,14
