sta,lat,lon,depth,vp,vs,rho,ani,model_layers,dip,strike,plunge,trend
AXF,78.88,-75.78,0.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,1000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,1500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,2000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,2500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,3000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,3500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,4000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,4500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,5000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,5500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,6000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,6500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,7000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,7500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,8000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,8500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,9000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,9500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,10000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,10500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,11000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,11500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,12000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,12500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,13000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,13500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,14000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,14500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,15000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,15500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,16000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,16500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,17000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,17500.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,17642.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,18000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,18500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,19000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,19500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,20000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,20500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,21000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,21500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,22000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,22500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,23000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,23500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,24000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,24500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,25000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,25500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,26000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,26500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,27000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,27500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,28000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,28500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,29000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,29500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,30000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,30500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,31000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,31500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,32000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,32500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,33000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,33500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,34000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,34500.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
