station, lat, lon,depth,vpvs,weights,hd-angle,no_of_ev_in_hd
AKVQ,60.808,-78.1912,,,,,
AP3N,69.4586,-84.4616,39.5,1.7,"3,2,1",,
ARVN,61.0976,-94.0701,40,1.78,"1,1,-2",,
AXF,78.879997,-75.783333,34,1.92,,328,9
BLKN,64.3185,-96.0024,33.5,1.82,,16,64
BULN,66.3971,-93.1252,33,1.72,"1,4,1",,
CNF,79.65667,-80.778328,27,1.76,"1,1,1",318,36
CRLN,64.188797,-83.347832,34,1.68,,,
CTSN,62.851799,-82.484642,35,1.8,,,
DORN,64.229942,-76.530502,36,1.78,,,
EUNU,80.0532,-86.4158,41.5,2,"1,1,-24",0,23
FCC,58.7592,-94.0884,39.5,1.76,,178,75
GIFN,69.9945,-81.638,41,1.76,,,
IBFB,80.605003,-79.576668,37.5,1.8,,54,17
IBFE,80.605003,-79.576668,36.5,1.88,,92,42
IGLN,69.369,-81.8175,37,1.74,"1,3,1",,
ILON,69.3712,-81.8243,39,1.7,,86,67
INUQ,58.4509,-78.1186,39.5,1.82,"1,1,-1",,
JOSN,63.1622,-91.542,34,1.8,"""-1,-6,-1""",,
KUGN,68.0898,-90.0616,35,1.74,,,
LAIN,69.1086,-83.5361,38,1.62,"3,2,1",,
MANN,62.289333,-79.591835,33.5,1.84,,,
MARN,71.326279,-79.373581,40,1.74,,,
MCF,82.648331,-75.041672,32.5,1.92,"1,1,1",240,11
MCMN,63.3043,-92.2977,33,1.86,,,
MRYN,71.3328,-79.3795,,,,,
NOTN,63.293659,-78.135452,35.5,1.76,,,
NUNN,65.2146,-91.0784,35,1.78,,,
POIN,72.7012,-77.962,33,1.86,,90,16
QILN,66.6532,-86.3709,35.5,1.78,,,
RES,74.6892,-94.8962,36.5,2.02,,62,26
SAKN,56.5359,-79.2324,40.5,1.9,,,
SEDN,63.2502,-91.2081,37.5,1.72,,150,15
SHMN,64.576668,-84.114517,36.5,1.74,,,
SHWN,63.775139,-85.088692,36,1.78,,,
SMLN,68.5936,-91.9364,39.5,1.72,,,
SNKN,56.5362,-79.2315,,,,,
SNQN,56.5418,-79.2254,36.5,2.1,,,
SRLN,68.5513,-83.3238,38,1.72,"1,1,1",,
STLN,67.3116,-92.9849,34.5,1.74,"1,4,1",,
TQF,81.41333,-76.845001,35.5,1.84,,122,20
WAGN,65.8792,-89.4445,34,1.74,"1,1,1",,
YBKN,64.3185,-96.0026,33.5,1.8,"1,1,1",,
YRTN,62.8102,-92.1095,40.5,1.7,"1,1,1",,
