station,Zone,lat,lon,SELECTED_MODEL,DISTRIB, SIZE,moho_avg,moho_std,std_percentage,upper_vp_avg,upper_vp_std,vp%,upper_vs,upper_vs_std,vs%, ERR2L, DEP2L1, DEN2L1, VP2L1, VS2L1, PLNG2L1, TRND2L1, ANIS2L1, DIP2L2, STRK2L2,  ERR3L, DEP3L1, DEN3L1, VP3L1, VS3L1, DEP3L2, DEN3L2, VP3L2, VS3L2, DIP3L2, STRK3L2, PLNG3L2, TRND3L2, ANIS3L2, DIP3L3, STRK3L3, ERR4L, DEP4L1, DEN4L1, VP4L1, VS4L1, DEP4L2, DEN4L2, VP4L2, VS4L2, DIP4L2, STRK4L2, PLNG4L2, TRND4L2, ANIS4L2, DEP4L3, DEN4L3, VP4L3, VS4L3, DIP4L3, STRK4L3, PLNG4L3, TRND4L3, ANIS4L3, DIP4L4, STRK4L4
AP3N,Rae,69.4586,-84.4616,3,BAD,7,38819.17333,1495.090632,3.85142316,6492.163839,160.9023903,2.478409268,3670.525168,196.5535686,5.354916793,0.17,40463.71,2840.71,6583.31,3845.87,0,0,0,0,0,0.16,18341.55,2653.42,6116.37,3606.15,20110.24,2755.39,6479.68,3800.22,0,0,0,0,0,0,0,0.17,9390.13,2282.61,6145.41,3526.12,13758.73,2983.37,7372.08,3526.12,0,0,0,0,0,14393.16,3339.14,6124.1,3348.59,0,0,0,0,0,0,0
ARVN,Hearne,61.0976,-94.0701,3,BAD,6,40227.37333,3273.366805,8.137162668,6351.088529,220.9445123,3.478844789,3838.770519,247.25358,6.440957562,0.17,42810.5,2981.16,6279.28,4099.63,0,0,0,0,0,0.16,32630.67,2611.53,6028.23,3794.74,8694.81,2900.31,6725.72,3861.72,0,0,0,0,0,0,0,0.17,8694.36,1897.73,6163.79,3467.85,14466.96,2985.41,7380.49,3777.02,0,0,0,0,0,13384.82,3416.49,6037.04,3515.94,0,0,0,0,0,0,0
AXF,Northern,78.879,-75.783,2,BAD,2,32877.99667,1649.250245,5.016273535,6858.467015,72.90590228,1.063005802,3874.269204,272.3258763,7.029090183,0.13,34035.06,2870.91,6883.31,4059,0,0,0,0,0,0.13,7417.48,2247.07,5963.76,3809.71,26191.92,2806.76,7006.52,4056.82,0,0,0,0,0,0,0,0.14,6612.38,1923.94,6379.27,3519.38,10595.66,2712.56,7183.47,3489.98,0,0,0,0,0,13781.49,3124.43,6967.22,3636.75,0,0,0,0,0,0,0
BLKN,Rae,64.3185,-96.0024,4,GOOD,28,34502.84351,1358.364396,3.936963617,6683.943786,344.4344663,5.153162225,3746.466097,137.1299361,3.660247619,0.16,35596.16948,2950.08009,7073.447178,3874.363951,1.846157463,183.5122275,0.417143036,2.775994076,344.3544785,0.16,21331.08631,2465.225941,5969.407627,3855.349194,13599.07192,2967.690733,7125.621903,3619.079066,4.705831329,163.6907171,30.13953098,109.4089203,4.192877983,3.617838097,28.89410983,0.14,7925.443007,2322.037408,6321.741016,3518.430834,12665.50137,2591.437605,6387.826524,3976.924204,3.491244853,285.7025783,12.81469026,35.42682707,5.955425474,12391.25844,3395.742514,6885.279112,3271.351093,3.653035686,138.0364709,8.040258163,116.1548003,3.613282401,4.906082596,320.5435125
BULN,Rae,66.3971,-93.1252,4,GOOD,5,37238.67526,2847.467061,7.646531572,6385.052979,150.62621,2.359044012,3801.884161,260.8042143,6.859867457,0.13,39769.66512,2950.11112,6557.472485,4030.904442,37.70682303,67.67477261,6.004471951,1.952182566,51.09183962,0.13,6372.516808,2832.562396,6149.584191,3677.41617,31418.25435,2849.009751,6305.305747,3893.098792,5.51578035,278.6548376,37.17218721,67.5461901,2.547099888,0.740054621,105.0369749,0.11,8126.060055,2261.564583,6209.999031,3561.381481,11816.43918,2643.915488,6446.675421,3860.587088,5.579198955,276.3812389,19.77220314,41.87043174,5.373789403,14213.09027,3341.388561,6274.306323,3208.424052,6.226492693,14.88873656,3.913552113,134.4610953,4.363621539,0.418179335,85.70432696
CNF,Northern,79.65667,-80.778328,4,GOOD,5,30619.35842,1010.176562,3.299143464,6476.131413,294.4806907,4.547169783,3831.195654,110.3703556,2.88083318,0.23,31785.74719,2980.887454,6151.791047,3924.76047,42.60611557,183.4578007,7.465299582,5.202656763,88.21826082,0.18,17901.84086,1994.079078,6768.228815,3839.417859,12123.85367,2865.235465,6227.428565,3888.786641,3.716393775,282.0560731,39.65229718,334.6779845,3.76556662,0.595993141,234.8757065,0.16,8277.706505,1552.265384,5970.409221,3526.884502,8509.762389,2694.107456,6833.213786,3844.83167,2.924846221,197.287908,10.77988968,269.9541704,6.374090821,13259.16464,3453.947663,7130.583027,3736.592748,7.793940824,278.7933402,29.27848789,350.7791961,3.789678065,5.360479571,184.0035285
CRLN,Hearne,64.188797,-83.347832,3,BAD,20,34553.41875,1183.830447,3.426087749,6800.268267,143.6436433,2.112323186,3681.698397,202.7352151,5.506567709,0.17,35431.78,2893.9,6698.1,3907.52,0,0,0,0,0,0.17,10181.69,1920.19,6660.63,3613.73,24839.64,2997.26,7089.07,3625.7,0,0,0,0,0,0,0,0.17,10765.86924,2128.881775,6280.54343,3381.033716,13549.5345,2881.58914,6876.054019,3349.753581,0,0,0,0,0,8891.742522,2975.807044,7082.230147,3930.337147,0,0,0,0,0,0,0
CTSN,Hearne,62.851799,-82.484642,3,GOOD,14,36944.06704,1339.067897,3.624581712,6638.679481,561.2037738,8.453545247,3812.451221,164.0611412,4.303298106,0.16,38130.33433,2977.164878,7275.982551,3931.961343,5.116512721,234.8130684,3.235325056,7.74945437,67.33579524,0.14,26786.91973,2960.394937,6059.42908,3885.170209,10422.89681,2836.744476,7352.669817,3866.681517,7.154475461,40.1204737,21.32036429,160.7895466,2.355105398,0.890223981,202.9875528,0.14,14680.56954,2122.824234,6039.415363,3571.345995,14062.50502,2613.561769,6023.185676,3551.887411,3.165049079,250.8344954,7.817262331,121.8561385,2.172228145,6748.97568,2801.461238,7014.360768,3896.159675,3.962674336,358.5294722,23.75061197,163.8585935,2.379280049,0.693346925,6.072130819
DORN,Hearne,64.229942,-76.530502,4,GOOD,26,38450.8731,1783.668431,4.638824265,6441.903999,102.8344082,1.596335621,3816.764041,190.1121531,4.980977368,0.14,40288.05794,2985.152607,6465.702188,4016.565704,18.97891013,64.12001413,0.795683089,5.060222866,81.46070792,0.13,23455.99178,2939.199082,6569.994702,3892.001755,14882.53759,2965.670214,5949.83626,3643.706489,7.840991131,270.8364401,0.35971412,289.1956178,0.876154428,3.215706012,74.60993593,0.12,9982.551638,2226.35261,5988.557733,3594.068905,14090.74915,2953.798405,6987.097447,3770.923189,6.920929316,59.79518363,11.3890182,44.43850785,2.526163204,12652.73119,3165.331803,6450.315974,3524.948437,7.609592271,295.727761,9.515944141,287.9679153,2.535307339,0.737688229,127.1700243
EUNU,Northern,80.0532,-86.4158,4,BAD,9,33197.54778,1612.239525,4.856501858,7031.800069,203.2046766,2.889795993,3642.758941,206.1319789,5.658677453,0.23,32331.2,2980.61,7071.25,3542.87,0,0,0,0,0,0.22,13107.51081,2298.119661,6891.732812,3679.961991,21950.23483,2688.70016,7403.864844,3999.140761,0,0,0,0,0,0,0,0.2,10882.41914,1902.800622,6172.138564,3134.138752,10221.01095,2740.519957,6791.791615,3867.949489,0,0,0,0,0,11100.2676,2939.186068,7457.224073,3536.128487,0,0,0,0,0,0,0
