layer_code,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
2,35000,2000,6000,3000,0,0,0,0,0
2,0,3500,8100,4500,0,0,0,0,0
3,20000,2000,6000,3100,0,0,0,0,0
3,20000,2600,7000,4200,0,0,0,0,0
3,0,3500,8100,4500,0,0,0,0,0
4,9000,2200,6000,3000,0,0,0,0,0
4,11000,2500,6200,3500,0,0,0,0,0
4,15000,2800,6400,4000,0,0,0,0,0
4,0,3500,8100,4500,0,0,0,0,0
5,6000,2200,6000,3500,0,0,0,0,0
5,8000,2400,6100,3700,0,0,0,0,0
5,10000,2600,6700,3700,0,0,0,0,0
5,12000,2900,6700,4100,0,0,0,0,0
5,0,3500,8100,4500,0,0,0,0,0
6,4000,2200,6000,3000,0,0,0,0,0
6,5000,2300,6100,3300,0,0,0,0,0
6,6000,2500,6200,3700,0,0,0,0,0
6,10000,2900,6400,4000,0,0,0,0,0
6,10000,3000,6700,4500,0,0,0,0,0
6,0,3500,8100,4500,0,0,0,0,0
7,4000,2200,6000,3000,0,0,0,0,0
7,4000,2400,6100,3300,0,0,0,0,0
7,5000,2600,6200,3600,0,0,0,0,0
7,6000,2900,6300,3900,0,0,0,0,0
7,7000,3000,6500,4200,0,0,0,0,0
7,9000,3100,6700,4500,0,0,0,0,0
7,0,3500,8100,4500,0,0,0,0,0
