layer_code,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
2,None,None,None,None,0,0,0,0,0
2,0,3500,8100,4500,0,0,0,0,0
3,None,None,None,None,0,0,0,0,0
3,None,None,None,None,0,0,0,0,0
3,0,3500,8100,4500,0,0,0,0,0
4,None,None,None,None,0,0,0,0,0
4,None,None,None,None,0,0,0,0,0
4,None,None,None,None,0,0,0,0,0
4,0,3500,8100,4500,0,0,0,0,0
5,None,None,None,None,0,0,0,0,0
5,None,None,None,None,0,0,0,0,0
5,None,None,None,None,0,0,0,0,0
5,None,None,None,None,0,0,0,0,0
5,0,3500,8100,4500,0,0,0,0,0
