layer_code,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
2,"(30000, 45000)","(1500, 2500)","(6000,8000)","(2900,5000)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
2,"(0,0)","(2200, 4100)","(7800,9000)","(4500,6000)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
3,"(5000, 25000)","(1500, 2500)","(5800,6500)","(2900,4000)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
3,"(5000, 25000)","(2200, 3000)","(6300,8000)","(3800,5100)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
3,"(0,0)","(2800, 4100)","(7800,9000)","(4500,5500)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
4,"(5000, 15000)","(1500, 2500)","(5800,6500)","(2900,3600)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
4,"(5000, 15000)","(2200, 3000)","(6000,7500)","(3500,4200)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
4,"(5000, 15000)","(2800, 3500)","(7000,8000)","(4000,5000)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
4,"(0,0)","(3000, 4100)","(7800,8500)","(4800,5800)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
5,"(5000, 15000)","(1600, 2600)","(5800,6500)","(2900,3500)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
5,"(5000, 15000)","(2000, 2800)","(5900,7000)","(3300,3900)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
5,"(5000, 15000)","(2300, 3300)","(6000,7500)","(3500,4500)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
5,"(5000, 15000)","(2700, 3700)","(6200,8000)","(4000,5000)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
5,"(0,0)","(2800, 4100)","(7900,9000)","(4200,5800)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
6,"(5000, 15000)","(1700, 2700)","(5500,6500)","(2900,3600)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
6,"(5000, 15000)","(1900, 2900)","(5800,6900)","(3000,3900)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
6,"(5000, 15000)","(2100, 3300)","(6000,7400)","(3200,4200)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
6,"(5000, 15000)","(2400, 3600)","(6100,7900)","(3400,4500)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
6,"(5000, 15000)","(2800, 3900)","(7300,8000)","(3600,5000)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
6,"(0,0)","(3000, 4100)","(7900,9000)","(4000,6000)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
7,"(5000, 15000)","(1700, 2700)","(5500,6500)","(2900,3600)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
7,"(5000, 15000)","(1900, 2900)","(5800,6700)","(3000,3900)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
7,"(5000, 15000)","(2100, 3300)","(6000,7200)","(3200,4200)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
7,"(5000, 15000)","(2400, 3600)","(6100,7800)","(3400,4500)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
7,"(5000, 15000)","(2800, 3900)","(7300,8000)","(3600,5000)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
7,"(5000, 15000)","(2800, 3900)","(7300,8000)","(3600,5000)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
7,"(0,0)","(3000, 4100)","(7800,8500)","(4800,5800)","(0,0)","(0,0)","(0,0)","(0,0)","(0,0)"
