sta,lat,lon,depth,vp,vs,rho,ani,model_layers,dip,strike,plunge,trend
GIFN,69.99,-81.64,0.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,2000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,4000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,6000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,8000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,10000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,12000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,14000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,16000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,18000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,20000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,22000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,24000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,26000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,28000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,30000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,32000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
GIFN,69.99,-81.64,34000.0,6580.0,3884.0,2255.0,6.259521161898634,2,0.0,0.0,61.84343765838599,83.24027989725327
