sta,lat,lon,depth,vp,vs,rho,ani,model_layers,dip,strike,plunge,trend
GIFN,69.99,-81.64,0.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,2000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,4000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,6000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,8000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,10000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,12000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,14000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,16000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,18000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,20000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,22000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,24000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,26000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,28000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,30000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,32000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,34000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,36000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,38000.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,39255.0,6253.0,3668.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,40000.0,8832.0,4753.0,2384.0,0.0,2,2.8458875869659277,59.31717373963657,0.0,0.0
GIFN,69.99,-81.64,42000.0,8832.0,4753.0,2384.0,0.0,2,2.8458875869659277,59.31717373963657,0.0,0.0
GIFN,69.99,-81.64,44000.0,8832.0,4753.0,2384.0,0.0,2,2.8458875869659277,59.31717373963657,0.0,0.0
GIFN,69.99,-81.64,46000.0,8832.0,4753.0,2384.0,0.0,2,2.8458875869659277,59.31717373963657,0.0,0.0
GIFN,69.99,-81.64,48000.0,8832.0,4753.0,2384.0,0.0,2,2.8458875869659277,59.31717373963657,0.0,0.0
GIFN,69.99,-81.64,50000.0,8832.0,4753.0,2384.0,0.0,2,2.8458875869659277,59.31717373963657,0.0,0.0
WAGN,65.88,-89.44,0.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,2000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,4000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,6000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,8000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,10000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,12000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,14000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,16000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,18000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,20000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,22000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,24000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,26000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,28000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,30000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,32000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,34000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,36000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,38000.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,38868.0,6650.0,3837.0,2225.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,40000.0,8566.0,4889.0,2472.0,0.0,2,7.543609850755662,16.442745168975264,0.0,0.0
WAGN,65.88,-89.44,42000.0,8566.0,4889.0,2472.0,0.0,2,7.543609850755662,16.442745168975264,0.0,0.0
WAGN,65.88,-89.44,44000.0,8566.0,4889.0,2472.0,0.0,2,7.543609850755662,16.442745168975264,0.0,0.0
WAGN,65.88,-89.44,46000.0,8566.0,4889.0,2472.0,0.0,2,7.543609850755662,16.442745168975264,0.0,0.0
WAGN,65.88,-89.44,48000.0,8566.0,4889.0,2472.0,0.0,2,7.543609850755662,16.442745168975264,0.0,0.0
WAGN,65.88,-89.44,50000.0,8566.0,4889.0,2472.0,0.0,2,7.543609850755662,16.442745168975264,0.0,0.0
MANN,62.29,-79.59,0.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,2000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,4000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,6000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,8000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,10000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,12000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,14000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,16000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,18000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,20000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,22000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,24000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,26000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,28000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,30000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,32000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,34000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,36000.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,37505.0,6715.0,3831.0,2426.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,38000.0,8456.0,4897.0,2513.0,0.0,2,4.975367155755255,145.7300604226401,0.0,0.0
MANN,62.29,-79.59,40000.0,8456.0,4897.0,2513.0,0.0,2,4.975367155755255,145.7300604226401,0.0,0.0
MANN,62.29,-79.59,42000.0,8456.0,4897.0,2513.0,0.0,2,4.975367155755255,145.7300604226401,0.0,0.0
MANN,62.29,-79.59,44000.0,8456.0,4897.0,2513.0,0.0,2,4.975367155755255,145.7300604226401,0.0,0.0
MANN,62.29,-79.59,46000.0,8456.0,4897.0,2513.0,0.0,2,4.975367155755255,145.7300604226401,0.0,0.0
MANN,62.29,-79.59,48000.0,8456.0,4897.0,2513.0,0.0,2,4.975367155755255,145.7300604226401,0.0,0.0
MANN,62.29,-79.59,50000.0,8456.0,4897.0,2513.0,0.0,2,4.975367155755255,145.7300604226401,0.0,0.0
BLKN,64.32,-96.00,0.0,7885.0,4506.0,2199.0,0.0,2,0.0,0.0,0.0,0.0
BLKN,64.32,-96.00,2000.0,7885.0,4506.0,2199.0,0.0,2,0.0,0.0,0.0,0.0
BLKN,64.32,-96.00,4000.0,7885.0,4506.0,2199.0,0.0,2,0.0,0.0,0.0,0.0
BLKN,64.32,-96.00,6000.0,7885.0,4506.0,2199.0,0.0,2,0.0,0.0,0.0,0.0
BLKN,64.32,-96.00,8000.0,7885.0,4506.0,2199.0,0.0,2,0.0,0.0,0.0,0.0
BLKN,64.32,-96.00,10000.0,7885.0,4506.0,2199.0,0.0,2,0.0,0.0,0.0,0.0
