stn_code,lat,lon,moho_depth,moho_vs,moho_vp,moho_rho,moho_dip,moho_strike,moho_ani,moho_plunge,moho_trend
MANN,62.29,-79.59,37505,4897,8456,2513,4.975367155755255,145.7300604226401,0.0,0.0,0.0
MARN,71.33,-79.37,44078,5591,8271,2400,6.078534346534108,104.65693171273176,0.0,0.0,0.0
SHMN,64.58,-84.11,36951,4934,8130,2650,3.4745730909898263,41.48733223898335,0.0,0.0,0.0
BLKN,64.32,-96.0,42818,5515,8716,2519,2.1063398256328627,53.060440371674765,0.0,0.0,0.0
QILN,66.65,-86.37,37956,4923,8816,2878,6.2060797264586665,253.7911509041881,0.0,0.0,0.0
CTSN,62.85,-82.48,37873,4631,8043,3534,5.410643596452919,290.33809562764355,0.0,0.0,0.0
RES,74.69,-94.9,40414,4822,8071,3303,6.500796126221602,149.55750774203472,0.0,0.0,0.0
NOTN,63.29,-78.14,42365,4982,8432,2629,5.619703139666533,324.73547173600485,0.0,0.0,0.0
JOSN,63.16,-91.54,39268,5134,8167,3591,6.153301868699173,238.3697227138908,0.0,0.0,0.0
LAIN,69.11,-83.54,41850,5006,8735,2786,2.370046296657285,92.2269542738548,0.0,0.0,0.0
AP3N,69.46,-84.46,44429,4871,8890,3216,5.38332528090444,328.7158970723434,0.0,0.0,0.0
WAGN,65.88,-89.44,38868,4889,8566,2472,7.543609850755662,16.442745168975264,0.0,0.0,0.0
CNF,79.66,-80.78,30249,4746,8828,3427,4.240708442161077,131.0884189946529,0.0,0.0,0.0
GIFN,69.99,-81.64,39255,4753,8832,2384,2.8458875869659277,59.31717373963657,0.0,0.0,0.0
KUGN,68.09,-90.06,36259,5177,8692,2255,2.9827676620283525,345.82939436711104,0.0,0.0,0.0
SHWN,63.78,-85.09,36900,4586,8803,2752,4.332023416536075,67.92497517650858,0.0,0.0,0.0
MCMN,63.3,-92.3,38314,4982,8298,2906,1.6469685365022615,348.15672965157523,0.0,0.0,0.0
CRLN,64.19,-83.35,36198,4892,8247,3112,5.718317878360179,196.65906238637513,0.0,0.0,0.0
SRLN,68.55,-83.32,42207,4822,8461,2326,1.6390532210382929,297.6873217716179,0.0,0.0,0.0
SAKN,56.54,-79.23,43465,4682,8158,2922,3.8501508926134527,93.98157147249574,0.0,0.0,0.0
BULN,66.4,-93.13,44785,5532,8391,3443,2.9770697930153585,127.15914450070446,0.0,0.0,0.0
ARVN,61.1,-94.07,43834,4839,8234,2378,5.396455965535182,160.10135597955522,0.0,0.0,0.0
