sta,lat,lon,depth,vp,vs,rho,ani,model_layers,dip,strike,plunge,trend
POIN,72.70,-77.96,0.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,2000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,4000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,6000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,8000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,10000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,12000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,14000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,16000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,18000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,20000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,22000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,24000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,26000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,28000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,30000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,32000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,34000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,36000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,38000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,40000.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,40249.0,7917.0,4575.0,2010.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,42000.0,8586.0,5129.0,2412.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,44000.0,8586.0,5129.0,2412.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,46000.0,8586.0,5129.0,2412.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,48000.0,8586.0,5129.0,2412.0,0.0,2,0.0,0.0,0.0,0.0
POIN,72.70,-77.96,50000.0,8586.0,5129.0,2412.0,0.0,2,0.0,0.0,0.0,0.0
