rho,vp,vs,dip,strike,plunge,trend,ani,depth
2491.0,6398.0,3840.0,0.0,0.0,0.0,0.0,0.0,0.0
2491.0,6398.0,3840.0,0.0,0.0,0.0,0.0,0.0,2000.0
2491.0,6398.0,3840.0,0.0,0.0,0.0,0.0,0.0,4000.0
2491.0,6398.0,3840.0,0.0,0.0,0.0,0.0,0.0,6000.0
2491.0,6398.0,3840.0,0.0,0.0,0.0,0.0,0.0,8000.0
2491.0,6398.0,3840.0,0.0,0.0,0.0,0.0,0.0,10000.0
2491.0,6398.0,3840.0,0.0,0.0,0.0,0.0,0.0,12000.0
2491.0,6398.0,3840.0,0.0,0.0,0.0,0.0,0.0,14000.0
2491.0,6398.0,3840.0,0.0,0.0,0.0,0.0,0.0,16000.0
2491.0,6398.0,3840.0,0.0,0.0,0.0,0.0,0.0,18000.0
2491.0,6398.0,3840.0,0.0,0.0,0.0,0.0,0.0,19960.0
2557.0,6952.0,3900.0,0.0,0.0,0.0,0.0,0.0,20000.0
2557.0,6952.0,3900.0,0.0,0.0,0.0,0.0,0.0,22000.0
2557.0,6952.0,3900.0,0.0,0.0,0.0,0.0,0.0,24000.0
2557.0,6952.0,3900.0,0.0,0.0,0.0,0.0,0.0,26000.0
2557.0,6952.0,3900.0,0.0,0.0,0.0,0.0,0.0,28000.0
2557.0,6952.0,3900.0,0.0,0.0,0.0,0.0,0.0,30000.0
2557.0,6952.0,3900.0,0.0,0.0,0.0,0.0,0.0,32000.0
2557.0,6952.0,3900.0,0.0,0.0,0.0,0.0,0.0,34000.0
2557.0,6952.0,3900.0,0.0,0.0,0.0,0.0,0.0,36000.0
2557.0,6952.0,3900.0,0.0,0.0,0.0,0.0,0.0,38000.0
2557.0,6952.0,3900.0,0.0,0.0,0.0,0.0,0.0,40000.0
2557.0,6952.0,3900.0,0.0,0.0,0.0,0.0,0.0,40024.0
2872.0,8311.0,4746.0,0.0,0.0,0.0,0.0,0.0,42000.0
2872.0,8311.0,4746.0,0.0,0.0,0.0,0.0,0.0,44000.0
2872.0,8311.0,4746.0,0.0,0.0,0.0,0.0,0.0,46000.0
2872.0,8311.0,4746.0,0.0,0.0,0.0,0.0,0.0,48000.0
2872.0,8311.0,4746.0,0.0,0.0,0.0,0.0,0.0,50000.0
