sta,lat,lon,moho_depth,moho_vp,moho_vs,moho_rho
MANN,62.29,-79.59,43638,8643,5915,2421
RES,74.69,-94.90,40703,8257,4578,2319
IGLN,69.37,-81.82,40967,8610,5240,2991
JOSN,63.16,-91.54,38684,8231,4812,2267
MARN,71.33,-79.37,44710,8240,5467,2273
SNKN,56.54,-79.23,37079,7986,4560,2343
SHMN,64.58,-84.11,43976,7985,5344,2774
CTSN,62.85,-82.48,39712,8107,4697,2569
NUNN,65.21,-91.08,36016,8166,4687,2595
BLKN,64.32,-96.00,41840,8045,5302,2647
STLN,67.31,-92.98,43897,8549,5242,2260
AKVQ,60.81,-78.19,42889,8201,4645,2405
QILN,66.65,-86.37,43956,8153,5530,2278
TQF,81.41,-76.85,43942,8728,5493,2277
IBFB,80.61,-79.58,35443,8806,4785,3147
NOTN,63.29,-78.14,43091,8667,5628,2347
LAIN,69.11,-83.54,42145,8125,4547,2569
KJKQ,55.28,-77.75,40816,8547,4503,3057
SEDN,63.25,-91.21,40520,8627,4907,2339
SAKN,56.54,-79.23,30119,8395,5002,2414
POIN,72.70,-77.96,40249,8586,5129,2412
CRLN,64.19,-83.35,41316,8268,5222,2247
MCMN,63.30,-92.30,42837,8650,5501,2391
YRTN,62.81,-92.11,33844,8687,4640,2301
MCF,82.65,-75.04,43517,8830,5531,2333
SHWN,63.78,-85.09,39617,8549,4890,2934
WAGN,65.88,-89.44,39946,8583,5292,2333
DORN,64.23,-76.53,42966,8475,5328,2386
FCC,58.76,-94.09,40861,8543,4526,2203
GIFN,69.99,-81.64,40328,8745,4612,2322
KUGN,68.09,-90.06,30539,8361,4547,2245
EUNU,80.05,-86.42,39159,8284,5933,2287
CNF,79.66,-80.78,33864,7996,4974,2246
INUQ,58.45,-78.12,44299,7856,4610,2345
AP3N,69.46,-84.46,40024,8311,4746,2872
SMLN,68.59,-91.94,41765,8559,5191,2361
AXF,78.88,-75.78,43892,8462,4796,2857
SRLN,68.55,-83.32,40004,8899,4646,2488
ILON,69.37,-81.82,41852,8433,5083,2334
BULN,66.40,-93.13,39682,8118,4856,2788
ARVN,61.10,-94.07,43197,8284,4683,2438
