stn_code,lat,lon,moho_depth,moho_vs,moho_vp,moho_rho,moho_dip,moho_strike,moho_ani,moho_plunge,moho_trend
MANN,62.29,-79.59,43638,5915,8643,2421,0.0,0.0,0.0,0.0,0.0
RES,74.69,-94.9,40703,4578,8257,2319,0.0,0.0,0.0,0.0,0.0
IGLN,69.37,-81.82,40967,5240,8610,2991,0.0,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,38684,4812,8231,2267,0.0,0.0,0.0,0.0,0.0
MARN,71.33,-79.37,44710,5467,8240,2273,0.0,0.0,0.0,0.0,0.0
SNKN,56.54,-79.23,37079,4560,7986,2343,0.0,0.0,0.0,0.0,0.0
SHMN,64.58,-84.11,43976,5344,7985,2774,0.0,0.0,0.0,0.0,0.0
CTSN,62.85,-82.48,39712,4697,8107,2569,0.0,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,36016,4687,8166,2595,0.0,0.0,0.0,0.0,0.0
BLKN,64.32,-96.0,41840,5302,8045,2647,0.0,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,43897,5242,8549,2260,0.0,0.0,0.0,0.0,0.0
AKVQ,60.81,-78.19,42889,4645,8201,2405,0.0,0.0,0.0,0.0,0.0
QILN,66.65,-86.37,43956,5530,8153,2278,0.0,0.0,0.0,0.0,0.0
TQF,81.41,-76.85,43942,5493,8728,2277,0.0,0.0,0.0,0.0,0.0
IBFB,80.61,-79.58,35443,4785,8806,3147,0.0,0.0,0.0,0.0,0.0
NOTN,63.29,-78.14,43091,5628,8667,2347,0.0,0.0,0.0,0.0,0.0
LAIN,69.11,-83.54,42145,4547,8125,2569,0.0,0.0,0.0,0.0,0.0
KJKQ,55.28,-77.75,40816,4503,8547,3057,0.0,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,40520,4907,8627,2339,0.0,0.0,0.0,0.0,0.0
SAKN,56.54,-79.23,30119,5002,8395,2414,0.0,0.0,0.0,0.0,0.0
POIN,72.7,-77.96,40249,5129,8586,2412,0.0,0.0,0.0,0.0,0.0
CRLN,64.19,-83.35,41316,5222,8268,2247,0.0,0.0,0.0,0.0,0.0
MCMN,63.3,-92.3,42837,5501,8650,2391,0.0,0.0,0.0,0.0,0.0
YRTN,62.81,-92.11,33844,4640,8687,2301,0.0,0.0,0.0,0.0,0.0
MCF,82.65,-75.04,43517,5531,8830,2333,0.0,0.0,0.0,0.0,0.0
SHWN,63.78,-85.09,39617,4890,8549,2934,0.0,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,39946,5292,8583,2333,0.0,0.0,0.0,0.0,0.0
DORN,64.23,-76.53,42966,5328,8475,2386,0.0,0.0,0.0,0.0,0.0
FCC,58.76,-94.09,40861,4526,8543,2203,0.0,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,40328,4612,8745,2322,0.0,0.0,0.0,0.0,0.0
KUGN,68.09,-90.06,30539,4547,8361,2245,0.0,0.0,0.0,0.0,0.0
EUNU,80.05,-86.42,39159,5933,8284,2287,0.0,0.0,0.0,0.0,0.0
CNF,79.66,-80.78,33864,4974,7996,2246,0.0,0.0,0.0,0.0,0.0
INUQ,58.45,-78.12,44299,4610,7856,2345,0.0,0.0,0.0,0.0,0.0
AP3N,69.46,-84.46,40024,4746,8311,2872,0.0,0.0,0.0,0.0,0.0
SMLN,68.59,-91.94,41765,5191,8559,2361,0.0,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,43892,4796,8462,2857,0.0,0.0,0.0,0.0,0.0
SRLN,68.55,-83.32,40004,4646,8899,2488,0.0,0.0,0.0,0.0,0.0
ILON,69.37,-81.82,41852,5083,8433,2334,0.0,0.0,0.0,0.0,0.0
BULN,66.4,-93.13,39682,4856,8118,2788,0.0,0.0,0.0,0.0,0.0
ARVN,61.1,-94.07,43197,4683,8284,2438,0.0,0.0,0.0,0.0,0.0
