sta,lat,lon,depth,vp,vs,rho,ani,model_layers,dip,strike,plunge,trend
AXF,78.88,-75.78,0.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,2000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,4000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,6000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,8000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,10000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,12000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,14000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,16000.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,17642.0,6426.0,3932.0,2355.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,18000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,20000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,22000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,24000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,26000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,28000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,30000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,32000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,34000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,36000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,38000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,40000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,42000.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,42065.0,7998.0,4102.0,2584.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,44000.0,8625.0,4721.0,2957.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,46000.0,8625.0,4721.0,2957.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,48000.0,8625.0,4721.0,2957.0,0.0,3,0.0,0.0,0.0,0.0
AXF,78.88,-75.78,50000.0,8625.0,4721.0,2957.0,0.0,3,0.0,0.0,0.0,0.0
YRTN,62.81,-92.11,0.0,5994.0,3511.0,2438.0,0.0,4,0.0,0.0,0.0,0.0
YRTN,62.81,-92.11,2000.0,5994.0,3511.0,2438.0,0.0,4,0.0,0.0,0.0,0.0
YRTN,62.81,-92.11,4000.0,5994.0,3511.0,2438.0,0.0,4,0.0,0.0,0.0,0.0
YRTN,62.81,-92.11,6000.0,5994.0,3511.0,2438.0,0.0,4,0.0,0.0,0.0,0.0
YRTN,62.81,-92.11,8000.0,5994.0,3511.0,2438.0,0.0,4,0.0,0.0,0.0,0.0
YRTN,62.81,-92.11,10000.0,5994.0,3511.0,2438.0,0.0,4,0.0,0.0,0.0,0.0
YRTN,62.81,-92.11,11309.0,5994.0,3511.0,2438.0,0.0,4,0.0,0.0,0.0,0.0
YRTN,62.81,-92.11,12000.0,7357.0,3660.0,2851.0,0.0,4,0.0,0.0,0.0,0.0
YRTN,62.81,-92.11,14000.0,7357.0,3660.0,2851.0,0.0,4,0.0,0.0,0.0,0.0
YRTN,62.81,-92.11,16000.0,7357.0,3660.0,2851.0,0.0,4,0.0,0.0,0.0,0.0
