rho,vp,vs,dip,strike,plunge,trend,ani,depth
2587.0,5905.0,3401.0,0.0,0.0,0.0,0.0,0.0,0.0
2587.0,5905.0,3401.0,0.0,0.0,0.0,0.0,0.0,2000.0
2587.0,5905.0,3401.0,0.0,0.0,0.0,0.0,0.0,4000.0
2587.0,5905.0,3401.0,0.0,0.0,0.0,0.0,0.0,6000.0
2587.0,5905.0,3401.0,0.0,0.0,0.0,0.0,0.0,7558.0
2499.0,6610.0,3891.0,0.0,0.0,0.0,0.0,0.0,8000.0
2499.0,6610.0,3891.0,0.0,0.0,0.0,0.0,0.0,10000.0
2499.0,6610.0,3891.0,0.0,0.0,0.0,0.0,0.0,12000.0
2499.0,6610.0,3891.0,0.0,0.0,0.0,0.0,0.0,14000.0
2499.0,6610.0,3891.0,0.0,0.0,0.0,0.0,0.0,16000.0
2499.0,6610.0,3891.0,0.0,0.0,0.0,0.0,0.0,18000.0
2499.0,6610.0,3891.0,0.0,0.0,0.0,0.0,0.0,20000.0
2499.0,6610.0,3891.0,0.0,0.0,0.0,0.0,0.0,20587.0
3012.0,7206.0,3853.0,0.0,0.0,0.0,0.0,0.0,22000.0
3012.0,7206.0,3853.0,0.0,0.0,0.0,0.0,0.0,24000.0
3012.0,7206.0,3853.0,0.0,0.0,0.0,0.0,0.0,26000.0
3012.0,7206.0,3853.0,0.0,0.0,0.0,0.0,0.0,28000.0
3012.0,7206.0,3853.0,0.0,0.0,0.0,0.0,0.0,30000.0
3012.0,7206.0,3853.0,0.0,0.0,0.0,0.0,0.0,32000.0
3012.0,7206.0,3853.0,0.0,0.0,0.0,0.0,0.0,34000.0
3012.0,7206.0,3853.0,0.0,0.0,0.0,0.0,0.0,35412.0
3014.0,6369.0,4761.0,0.0,0.0,0.0,0.0,0.0,36000.0
3014.0,6369.0,4761.0,0.0,0.0,0.0,0.0,0.0,38000.0
3014.0,6369.0,4761.0,0.0,0.0,0.0,0.0,0.0,40000.0
3014.0,6369.0,4761.0,0.0,0.0,0.0,0.0,0.0,41553.0
3351.0,8439.0,4802.0,0.0,0.0,0.0,0.0,0.0,42000.0
3351.0,8439.0,4802.0,0.0,0.0,0.0,0.0,0.0,44000.0
3351.0,8439.0,4802.0,0.0,0.0,0.0,0.0,0.0,46000.0
3351.0,8439.0,4802.0,0.0,0.0,0.0,0.0,0.0,48000.0
3351.0,8439.0,4802.0,0.0,0.0,0.0,0.0,0.0,50000.0
