rho,vp,vs,dip,strike,plunge,trend,ani,depth
2521.0,6479.0,3008.0,0.0,0.0,0.0,0.0,0.0,0.0
2521.0,6479.0,3008.0,0.0,0.0,0.0,0.0,0.0,2000.0
2521.0,6479.0,3008.0,0.0,0.0,0.0,0.0,0.0,4000.0
2521.0,6479.0,3008.0,0.0,0.0,0.0,0.0,0.0,5018.0
2173.0,6498.0,3868.0,0.0,0.0,0.0,0.0,0.0,6000.0
2173.0,6498.0,3868.0,0.0,0.0,0.0,0.0,0.0,8000.0
2173.0,6498.0,3868.0,0.0,0.0,0.0,0.0,0.0,10000.0
2173.0,6498.0,3868.0,0.0,0.0,0.0,0.0,0.0,12000.0
2173.0,6498.0,3868.0,0.0,0.0,0.0,0.0,0.0,13079.0
2549.0,6538.0,3723.0,0.0,0.0,0.0,0.0,0.0,14000.0
2549.0,6538.0,3723.0,0.0,0.0,0.0,0.0,0.0,16000.0
2549.0,6538.0,3723.0,0.0,0.0,0.0,0.0,0.0,18000.0
2549.0,6538.0,3723.0,0.0,0.0,0.0,0.0,0.0,20000.0
2549.0,6538.0,3723.0,0.0,0.0,0.0,0.0,0.0,22000.0
2549.0,6538.0,3723.0,0.0,0.0,0.0,0.0,0.0,24000.0
2549.0,6538.0,3723.0,0.0,0.0,0.0,0.0,0.0,25468.0
2880.0,7974.0,4448.0,0.0,0.0,0.0,0.0,0.0,26000.0
2880.0,7974.0,4448.0,0.0,0.0,0.0,0.0,0.0,28000.0
2880.0,7974.0,4448.0,0.0,0.0,0.0,0.0,0.0,30000.0
2880.0,7974.0,4448.0,0.0,0.0,0.0,0.0,0.0,32000.0
2880.0,7974.0,4448.0,0.0,0.0,0.0,0.0,0.0,34000.0
2880.0,7974.0,4448.0,0.0,0.0,0.0,0.0,0.0,35952.0
2839.0,8785.0,5135.0,0.0,0.0,0.0,0.0,0.0,36000.0
2839.0,8785.0,5135.0,0.0,0.0,0.0,0.0,0.0,38000.0
2839.0,8785.0,5135.0,0.0,0.0,0.0,0.0,0.0,40000.0
2839.0,8785.0,5135.0,0.0,0.0,0.0,0.0,0.0,42000.0
2839.0,8785.0,5135.0,0.0,0.0,0.0,0.0,0.0,44000.0
2839.0,8785.0,5135.0,0.0,0.0,0.0,0.0,0.0,46000.0
2839.0,8785.0,5135.0,0.0,0.0,0.0,0.0,0.0,48000.0
2839.0,8785.0,5135.0,0.0,0.0,0.0,0.0,0.0,50000.0
