rho,vp,vs,dip,strike,plunge,trend,ani,depth
1722.0,6271.0,3496.0,0.0,0.0,0.0,0.0,0.0,0.0
1722.0,6271.0,3496.0,0.0,0.0,0.0,0.0,0.0,2000.0
1722.0,6271.0,3496.0,0.0,0.0,0.0,0.0,0.0,4000.0
1722.0,6271.0,3496.0,0.0,0.0,0.0,0.0,0.0,5517.0
2606.0,6441.0,3469.0,0.0,0.0,0.0,0.0,0.0,6000.0
2606.0,6441.0,3469.0,0.0,0.0,0.0,0.0,0.0,8000.0
2606.0,6441.0,3469.0,0.0,0.0,0.0,0.0,0.0,10000.0
2606.0,6441.0,3469.0,0.0,0.0,0.0,0.0,0.0,12000.0
2606.0,6441.0,3469.0,0.0,0.0,0.0,0.0,0.0,14000.0
2606.0,6441.0,3469.0,0.0,0.0,0.0,0.0,0.0,16000.0
2606.0,6441.0,3469.0,0.0,0.0,0.0,0.0,0.0,16967.0
2790.0,7098.0,3824.0,0.0,0.0,0.0,0.0,0.0,18000.0
2790.0,7098.0,3824.0,0.0,0.0,0.0,0.0,0.0,20000.0
2790.0,7098.0,3824.0,0.0,0.0,0.0,0.0,0.0,22000.0
2790.0,7098.0,3824.0,0.0,0.0,0.0,0.0,0.0,24000.0
2790.0,7098.0,3824.0,0.0,0.0,0.0,0.0,0.0,26000.0
2790.0,7098.0,3824.0,0.0,0.0,0.0,0.0,0.0,26450.0
2775.0,7157.0,4959.0,0.0,0.0,0.0,0.0,0.0,28000.0
2775.0,7157.0,4959.0,0.0,0.0,0.0,0.0,0.0,30000.0
2775.0,7157.0,4959.0,0.0,0.0,0.0,0.0,0.0,32000.0
2775.0,7157.0,4959.0,0.0,0.0,0.0,0.0,0.0,34000.0
2775.0,7157.0,4959.0,0.0,0.0,0.0,0.0,0.0,34009.0
2802.0,8387.0,4225.0,0.0,0.0,0.0,0.0,0.0,36000.0
2802.0,8387.0,4225.0,0.0,0.0,0.0,0.0,0.0,38000.0
2802.0,8387.0,4225.0,0.0,0.0,0.0,0.0,0.0,40000.0
2802.0,8387.0,4225.0,0.0,0.0,0.0,0.0,0.0,42000.0
2802.0,8387.0,4225.0,0.0,0.0,0.0,0.0,0.0,44000.0
2802.0,8387.0,4225.0,0.0,0.0,0.0,0.0,0.0,46000.0
2802.0,8387.0,4225.0,0.0,0.0,0.0,0.0,0.0,48000.0
2802.0,8387.0,4225.0,0.0,0.0,0.0,0.0,0.0,50000.0
