rho,vp,vs,dip,strike,plunge,trend,ani,depth
2231.0,6088.0,3363.0,0.0,0.0,0.0,0.0,0.0,0.0
2231.0,6088.0,3363.0,0.0,0.0,0.0,0.0,0.0,2000.0
2231.0,6088.0,3363.0,0.0,0.0,0.0,0.0,0.0,4000.0
2231.0,6088.0,3363.0,0.0,0.0,0.0,0.0,0.0,6000.0
2231.0,6088.0,3363.0,0.0,0.0,0.0,0.0,0.0,7292.0
2325.0,6638.0,3686.0,0.0,0.0,0.0,0.0,0.0,8000.0
2325.0,6638.0,3686.0,0.0,0.0,0.0,0.0,0.0,10000.0
2325.0,6638.0,3686.0,0.0,0.0,0.0,0.0,0.0,12000.0
2325.0,6638.0,3686.0,0.0,0.0,0.0,0.0,0.0,14000.0
2325.0,6638.0,3686.0,0.0,0.0,0.0,0.0,0.0,14508.0
3070.0,6983.0,4174.0,0.0,0.0,0.0,0.0,0.0,16000.0
3070.0,6983.0,4174.0,0.0,0.0,0.0,0.0,0.0,18000.0
3070.0,6983.0,4174.0,0.0,0.0,0.0,0.0,0.0,20000.0
3070.0,6983.0,4174.0,0.0,0.0,0.0,0.0,0.0,22000.0
3070.0,6983.0,4174.0,0.0,0.0,0.0,0.0,0.0,24000.0
3070.0,6983.0,4174.0,0.0,0.0,0.0,0.0,0.0,26000.0
3070.0,6983.0,4174.0,0.0,0.0,0.0,0.0,0.0,28000.0
3070.0,6983.0,4174.0,0.0,0.0,0.0,0.0,0.0,28113.0
3242.0,7699.0,4341.0,0.0,0.0,0.0,0.0,0.0,30000.0
3242.0,7699.0,4341.0,0.0,0.0,0.0,0.0,0.0,32000.0
3242.0,7699.0,4341.0,0.0,0.0,0.0,0.0,0.0,34000.0
3242.0,7699.0,4341.0,0.0,0.0,0.0,0.0,0.0,36000.0
3242.0,7699.0,4341.0,0.0,0.0,0.0,0.0,0.0,38000.0
3242.0,7699.0,4341.0,0.0,0.0,0.0,0.0,0.0,40000.0
3242.0,7699.0,4341.0,0.0,0.0,0.0,0.0,0.0,41719.0
3127.0,8615.0,4982.0,0.0,0.0,0.0,0.0,0.0,42000.0
3127.0,8615.0,4982.0,0.0,0.0,0.0,0.0,0.0,44000.0
3127.0,8615.0,4982.0,0.0,0.0,0.0,0.0,0.0,46000.0
3127.0,8615.0,4982.0,0.0,0.0,0.0,0.0,0.0,48000.0
3127.0,8615.0,4982.0,0.0,0.0,0.0,0.0,0.0,50000.0
