rho,vp,vs,dip,strike,plunge,trend,ani,depth
1979.0,6067.0,3303.0,0.0,0.0,0.0,0.0,0.0,0.0
1979.0,6067.0,3303.0,0.0,0.0,0.0,0.0,0.0,2000.0
1979.0,6067.0,3303.0,0.0,0.0,0.0,0.0,0.0,4000.0
1979.0,6067.0,3303.0,0.0,0.0,0.0,0.0,0.0,6000.0
1979.0,6067.0,3303.0,0.0,0.0,0.0,0.0,0.0,8000.0
1979.0,6067.0,3303.0,0.0,0.0,0.0,0.0,0.0,8258.0
2400.0,6801.0,3514.0,0.0,0.0,0.0,0.0,0.0,10000.0
2400.0,6801.0,3514.0,0.0,0.0,0.0,0.0,0.0,12000.0
2400.0,6801.0,3514.0,0.0,0.0,0.0,0.0,0.0,14000.0
2400.0,6801.0,3514.0,0.0,0.0,0.0,0.0,0.0,16000.0
2400.0,6801.0,3514.0,0.0,0.0,0.0,0.0,0.0,18000.0
2400.0,6801.0,3514.0,0.0,0.0,0.0,0.0,0.0,20000.0
2400.0,6801.0,3514.0,0.0,0.0,0.0,0.0,0.0,20796.0
3063.0,6933.0,3521.0,0.0,0.0,0.0,0.0,0.0,22000.0
3063.0,6933.0,3521.0,0.0,0.0,0.0,0.0,0.0,24000.0
3063.0,6933.0,3521.0,0.0,0.0,0.0,0.0,0.0,26000.0
3063.0,6933.0,3521.0,0.0,0.0,0.0,0.0,0.0,28000.0
3063.0,6933.0,3521.0,0.0,0.0,0.0,0.0,0.0,30000.0
3063.0,6933.0,3521.0,0.0,0.0,0.0,0.0,0.0,32000.0
3063.0,6933.0,3521.0,0.0,0.0,0.0,0.0,0.0,34000.0
3063.0,6933.0,3521.0,0.0,0.0,0.0,0.0,0.0,34154.0
2868.0,7677.0,4431.0,0.0,0.0,0.0,0.0,0.0,36000.0
2868.0,7677.0,4431.0,0.0,0.0,0.0,0.0,0.0,38000.0
2868.0,7677.0,4431.0,0.0,0.0,0.0,0.0,0.0,40000.0
2868.0,7677.0,4431.0,0.0,0.0,0.0,0.0,0.0,42000.0
2868.0,7677.0,4431.0,0.0,0.0,0.0,0.0,0.0,42012.0
3034.0,8254.0,4786.0,0.0,0.0,0.0,0.0,0.0,44000.0
3034.0,8254.0,4786.0,0.0,0.0,0.0,0.0,0.0,46000.0
3034.0,8254.0,4786.0,0.0,0.0,0.0,0.0,0.0,48000.0
3034.0,8254.0,4786.0,0.0,0.0,0.0,0.0,0.0,50000.0
