rho,vp,vs,dip,strike,plunge,trend,ani,depth
2450.0,6085.0,3466.0,0.0,0.0,0.0,0.0,0.0,0.0
2450.0,6085.0,3466.0,0.0,0.0,0.0,0.0,0.0,2000.0
2450.0,6085.0,3466.0,0.0,0.0,0.0,0.0,0.0,4000.0
2450.0,6085.0,3466.0,0.0,0.0,0.0,0.0,0.0,6000.0
2450.0,6085.0,3466.0,0.0,0.0,0.0,0.0,0.0,8000.0
2450.0,6085.0,3466.0,0.0,0.0,0.0,0.0,0.0,10000.0
2450.0,6085.0,3466.0,0.0,0.0,0.0,0.0,0.0,12000.0
2450.0,6085.0,3466.0,0.0,0.0,0.0,0.0,0.0,14000.0
2450.0,6085.0,3466.0,0.0,0.0,0.0,0.0,0.0,14229.0
2034.0,6244.0,3681.0,0.0,0.0,0.0,0.0,0.0,16000.0
2034.0,6244.0,3681.0,0.0,0.0,0.0,0.0,0.0,18000.0
2034.0,6244.0,3681.0,0.0,0.0,0.0,0.0,0.0,20000.0
2034.0,6244.0,3681.0,0.0,0.0,0.0,0.0,0.0,22000.0
2034.0,6244.0,3681.0,0.0,0.0,0.0,0.0,0.0,24000.0
2034.0,6244.0,3681.0,0.0,0.0,0.0,0.0,0.0,25286.0
2777.0,7053.0,4021.0,0.0,0.0,0.0,0.0,0.0,26000.0
2777.0,7053.0,4021.0,0.0,0.0,0.0,0.0,0.0,28000.0
2777.0,7053.0,4021.0,0.0,0.0,0.0,0.0,0.0,30000.0
2777.0,7053.0,4021.0,0.0,0.0,0.0,0.0,0.0,32000.0
2777.0,7053.0,4021.0,0.0,0.0,0.0,0.0,0.0,34000.0
2777.0,7053.0,4021.0,0.0,0.0,0.0,0.0,0.0,34626.0
3429.0,7163.0,4249.0,0.0,0.0,0.0,0.0,0.0,36000.0
3429.0,7163.0,4249.0,0.0,0.0,0.0,0.0,0.0,38000.0
3429.0,7163.0,4249.0,0.0,0.0,0.0,0.0,0.0,40000.0
3429.0,7163.0,4249.0,0.0,0.0,0.0,0.0,0.0,40699.0
3011.0,8058.0,5312.0,0.0,0.0,0.0,0.0,0.0,42000.0
3011.0,8058.0,5312.0,0.0,0.0,0.0,0.0,0.0,44000.0
3011.0,8058.0,5312.0,0.0,0.0,0.0,0.0,0.0,46000.0
3011.0,8058.0,5312.0,0.0,0.0,0.0,0.0,0.0,48000.0
3011.0,8058.0,5312.0,0.0,0.0,0.0,0.0,0.0,50000.0
