stn_code,lat,lon,moho_depth,moho_vs,moho_vp,moho_rho,moho_dip,moho_strike,moho_ani,moho_plunge,moho_trend
MANN,62.29,-79.59,41050,5493,8771,2427,5.44831138030077,119.9782413189624,7.166258898156567,50.752391845896646,229.4316581059299
JOSN,63.16,-91.54,40862,5311,8207,2319,4.378855587878457,353.18884267140953,4.857916421559359,22.269427452364138,187.3634513246602
MARN,71.33,-79.37,44409,5278,8331,2244,3.04817233356112,110.51885745910234,8.757345789209532,61.619223754818314,169.55609858886177
QILN,66.65,-86.37,36810,4815,8079,3051,5.634845314233901,268.0298557602784,7.137800704897115,75.30106753294223,272.9650620997405
BLKN,64.32,-96.0,38289,4969,8644,2425,3.940200107853118,329.8679812917841,5.228167357010865,38.76267523241025,72.94534054696324
RES,74.69,-94.9,30768,4665,8242,3405,4.74592716095545,20.218504215841143,2.914237388990663,26.77386351500755,339.1019241520467
CRLN,64.19,-83.35,39398,5756,8343,2388,3.0563960666734356,346.6688704311108,7.532462031560816,50.962850245459435,113.18520218696972
AP3N,69.46,-84.46,41020,4809,8705,2653,2.0799035666867836,192.49381258361495,3.665099125953944,65.64916330575696,266.5938752056288
DORN,64.23,-76.53,42662,5233,8126,2376,4.145524041634214,317.17002514182354,5.938380110435072,72.7605794209186,260.2815139071561
KUGN,68.09,-90.06,35701,4739,8576,2902,4.939991544143706,294.96639281709247,5.577135303899331,45.26226346721771,314.710215303391
GIFN,69.99,-81.64,42556,4965,8474,2391,4.412027658812261,346.34888904668037,6.74970350750436,48.60005377003472,346.71387532670735
CNF,79.66,-80.78,39643,5196,8890,2544,5.313930351543496,205.536896317658,7.35826280255257,82.55982031197611,234.334569297045
